x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.13,2013-06-13 00:00:00,BC,2013,6,13,14.1,,8.9,,19.3,,0,,0,,0,,,,20,,33,,0,,3.9,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.14,2013-06-14 00:00:00,BC,2013,6,14,14.9,,11.5,,18.3,,0.4,,0.4,,0,,,,12,,35,,0,,3.1,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.15,2013-06-15 00:00:00,BC,2013,6,15,13.9,,7.8,,19.9,,0,,0,,0,,,,0,,0,,0,,4.1,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.16,2013-06-16 00:00:00,BC,2013,6,16,17.8,,13.2,,22.4,,0,,0,,0,,,,20,,39,,0,,0.2,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.17,2013-06-17 00:00:00,BC,2013,6,17,18.5,,14.1,,22.8,,0,,0,,0,,,,21,,44,,0.5,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.18,2013-06-18 00:00:00,BC,2013,6,18,16.5,,13,,19.9,,0.4,,0.4,,0,,,,22,,35,,0,,1.5,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.20,2013-06-20 00:00:00,BC,2013,6,20,14.2,,12.5,,15.9,,13.4,,13.4,,0,,,,29,,39,,0,,3.8,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.21,2013-06-21 00:00:00,BC,2013,6,21,15.9,,11.8,,20,,0.4,,0.4,,0,,,,21,,33,,0,,2.1,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.22,2013-06-22 00:00:00,BC,2013,6,22,17.9,,13.8,,22,,0,,0,,0,,,,0,,0,,0,,0.1,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.24,2013-06-24 00:00:00,BC,2013,6,24,16.2,,14.4,,18,,14.6,,14.6,,0,,,,18,,35,,0,,1.8,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.25,2013-06-25 00:00:00,BC,2013,6,25,16.7,,13.6,,19.7,,3.2,,3.2,,0,,,,14,,39,,0,,1.3,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.26,2013-06-26 00:00:00,BC,2013,6,26,17.3,,13.9,,20.6,,3.8,,3.8,,0,,,,13,,41,,0,,0.7,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.27,2013-06-27 00:00:00,BC,2013,6,27,17.8,,15.4,,20.1,,5.6,,5.6,,0,,,,8,,32,,0,,0.2,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.28,2013-06-28 00:00:00,BC,2013,6,28,17.8,,15.2,,20.4,,,M,,M,0,,,,0,,0,,0,,0.2,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.29,2013-06-29 00:00:00,BC,2013,6,29,20.5,,16.5,,24.4,,0,,0,,0,,,,0,,0,,2.5,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.6.30,2013-06-30 00:00:00,BC,2013,6,30,23.2,,15.2,,31.2,,0,,0,,0,,,,0,,0,,5.2,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.1,2013-07-01 00:00:00,BC,2013,7,1,22.5,,17,,28,,0,,0,,0,,,,21,,37,,4.5,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.2,2013-07-02 00:00:00,BC,2013,7,2,20.5,,15.4,,25.6,,0,,0,,0,,,,13,,32,,2.5,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.3,2013-07-03 00:00:00,BC,2013,7,3,18.5,,14.9,,22.1,,0,,0,,0,,,,30,,37,,0.5,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.4,2013-07-04 00:00:00,BC,2013,7,4,16.9,,13.1,,20.6,,0,,0,,0,,,,20,,37,,0,,1.1,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.5,2013-07-05 00:00:00,BC,2013,7,5,17.1,,12.7,,21.4,,0,,0,,0,,,,31,,33,,0,,0.9,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.6,2013-07-06 00:00:00,BC,2013,7,6,18.1,,13.9,,22.3,,0,,0,,0,,,,31,,41,,0.1,,0,,,,,
-123.18388888888889,49.194722222222225,VANCOUVER INTL A,1108395,1108395.2013.7.7,2013-07-07 00:00:00,BC,2013,7,7,17.5,,13.9,,21,,0,,0,,0,,,,29,,33,,0,,0.5,,,,,
